"nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
1,"Accountancy","none",0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,"No Minor","No Minor","White","Male","3.50 - 4.00",201920,"2019","Cum Laude","Milwaukee","DELOITTE","Accounting",NA,NA,NA,"Deloitte","2",NA,"Schroeder Moving Systems","1","accepted fulltime job","Yes","Yes",53000,"WI"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","boston","FAIRWAY MORTGAGE","Finance Marketing / Sales",NA,NA,NA,"real estate agent, boardwalk properties","2",NA,"marketing intern, boathouse group","2","accepted fulltime job","Yes","Yes",45000,"MA"
1,"Supply Chain & Operations Mgmt","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Analytics","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","Detroit","GENERAL MOTORS","Analytics
 Logistics / Supply Chain
 Operations / Procurement",NA,NA,NA,"Lexon Corp","2",NA,"General Motors","3","accepted fulltime job","Yes","Yes",75000,"Michigan, Detroit"
2,"Accountancy","Business Analytics",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Denver","PWC",NA,NA,NA,NA,"Cardinal Health","2",NA,"The Carmelite System","2","accepted fulltime job","Yes","Yes",55000,"CO"
1,"Marketing","none",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202020,"2020","Cum Laude","Columbus","JP MORGAN CHASE",NA,NA,NA,NA,"Cleveland Research Company","2",NA,"Lake Shore Insurance Agency",NA,"accepted fulltime job",NA,NA,59000,"OH"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","2.50 - 2.99",202030,"2020","0","Durham","NUTANIX",NA,NA,NA,NA,"Avalution Consulting","1",NA,NA,NA,"accepted fulltime job",NA,NA,62372.5576923077,"NC"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Interactive Media Studies","No Minor","Black or African American","Male","3.00 - 3.49",201920,"2019","0","Chicago","PUBLICIS SAPIENT","Marketing/Sales",NA,NA,NA,"KPMG","3","Digitas","Publicis Groupe","4","accepted fulltime job","No","Yes",50000,"IL"
1,"Finance","none",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"Business Analytics","Business Analytics","White","Female","3.50 - 4.00",202020,"2020","Summa Cum Laude","Cincinnati","FIFTH THIRD BANK","Analytics",NA,NA,NA,"W.W. Grainger","2",NA,"Miami University Center for Analytics and Data Science","3","accepted fulltime job","Yes","Yes",90000,"OH"
1,"Supply Chain & Operations Mgmt","none",0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,"Language","Language","White","Female","3.50 - 4.00",202120,"2021","Cum Laude","Chicago","MCDONALD'S CORPORATION","Logistics / Supply Chain",NA,NA,NA,"Shanghai Cascino Trading","2",NA,"McDonald's Corporation","2","accepted fulltime job","Yes","Yes",64500,"IL"
1,"Finance","none",0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,"Accountancy","Accountancy","White","Female","3.50 - 4.00",202120,"2021","Magna Cum Laude","Chicago","RSM","Accounting Consulting Finance",NA,NA,NA,"ReSource Pro","2",NA,"The Mather Group","2","accepted fulltime job","Yes","Yes",66200,"IL"
1,"Information Systems","none",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"Language","Language","White","Female","3.50 - 4.00",201920,"2019","Summa Cum Laude","Cincinnati","GE AVIATION","Information Technology",NA,NA,"CADS - Oxford, OH","Blithfield - London, UK","4","GE Aviation - Cincinnati, OH","HROne - Shanghai, China","2","accepted fulltime job","Yes","Yes",82000,"OH"
1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Information Security","No Minor","White","Male","3.50 - 4.00",202020,"2020","Cum Laude","Columbus","KPMG","Consulting IT Assurance / IT Audit Information Technology",NA,NA,NA,"Focus Logistics Solutions","3","Goodyear Tire & Rubber Company","Big Lots! Inc","2","accepted fulltime job","Yes","Yes",65000,"OH"
1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"International Business","International Business","White","Male","3.00 - 3.49",202120,"2021","0","Cincinnati","G3 MARKETING",NA,NA,NA,NA,"Toledo Mud Hens","2","Ireland Lacrosse","Miami University Athletic Department (Marketing)","2","accepted fulltime job",NA,NA,40000,"OH"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mangement and Leadership","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","Cincinnati","TARGET",NA,NA,NA,NA,"Target","2",NA,"Moocho",NA,"accepted fulltime job",NA,NA,64000,"OH"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","Chicago","STHREE","Human Resources
 Marketing / Sales",NA,NA,NA,"Dakota Software","1",NA,NA,"3","accepted fulltime job","Yes","Yes",40000,"IL"
